lsoa,os,left,right,top,bottom
E01000085,E00000442,0.147567754,0.152972949,51.54023194,51.53426531
E01000086,E00000422,0.14233498,0.151018042,51.53972928,51.53486607
E01000087,E00000420,0.146439311,0.155292258,51.53544656,51.52407784
E01000088,E00000424,0.151132008,0.160703433,51.5374295,51.52987178
E01000089,E00000429,0.156217442,0.16397229,51.53307512,51.52778342
E01000090,E00000421,0.140870726,0.165984292,51.53279247,51.50876285
E01000091,E00000451,0.103799889,0.116185633,51.53062559,51.52494858
E01000092,E00000453,0.080550002,0.134667982,51.53112157,51.51150276
E01000093,E00000454,0.096381082,0.108661139,51.53276897,51.52613962
E01000094,E00000452,0.106746549,0.123507967,51.52953011,51.51801103
E01000095,E00000455,0.116783699,0.147794547,51.5343418,51.51304814
E01000096,E00000458,0.106685744,0.127397636,51.53450423,51.52673896
E01000097,E00000482,0.125168547,0.132079435,51.56656008,51.56111955
E01000098,E00000481,0.123926792,0.131142678,51.56638776,51.55695989
E01000099,E00000486,0.129141861,0.137564943,51.56706079,51.55881385
E01000100,E00000493,0.134324989,0.14328511,51.56135549,51.55571634
E01000101,E00000494,0.139454869,0.147926037,51.56108361,51.55674905
E01000102,E00000502,0.126963739,0.140354703,51.56048336,51.55552898
E01000103,E00000532,0.155438877,0.173155588,51.53851199,51.5287996
E01000104,E00000518,0.162422348,0.17449601,51.54143428,51.53652516
E01000105,E00000511,0.147902499,0.158363386,51.54253853,51.53572466
E01000106,E00000512,0.154795006,0.16333769,51.54314271,51.53702782
E01000107,E00000513,0.16542872,0.185995163,51.54753484,51.53814046
E01000108,E00000539,0.160646157,0.172616723,51.545223,51.54060031
E01000109,E00000546,0.136175064,0.145823564,51.56781966,51.56100756
E01000110,E00000560,0.141394217,0.14975262,51.57577598,51.56954585
E01000111,E00000545,0.139919585,0.149878067,51.57450384,51.56465054
E01000112,E00000549,0.129362341,0.14390675,51.57425847,51.56652949
E01000113,E00000568,0.129600491,0.137889276,51.57173415,51.56791252
E01000114,E00000547,0.143736161,0.154386366,51.56806995,51.56100775
E01000115,E00000610,-0.148357636,-0.134296916,51.63931278,51.63310304
E01000116,E00000584,-0.151549643,-0.141809519,51.63712334,51.62990254
E01000117,E00000581,-0.162238439,-0.150927448,51.63680192,51.62938773
E01000118,E00000579,-0.159100011,-0.144892317,51.63528423,51.62713907
E01000119,E00000576,-0.144563166,-0.129162516,51.63404959,51.62579514
E01000120,E00000580,-0.145022611,-0.135814667,51.63510776,51.62903506
E01000121,E00000592,-0.15759753,-0.140299833,51.63009881,51.62390776
E01000122,E00000593,-0.141714085,-0.132621315,51.62993495,51.62221168
E01000123,E00000600,-0.154655403,-0.135400191,51.62683836,51.61941303
E01000124,E00000577,-0.151628357,-0.138431081,51.62278708,51.6154836
E01000125,E00000646,-0.274893576,-0.263472077,51.60865401,51.60117305
E01000126,E00000622,-0.255670688,-0.247306521,51.60408181,51.59925363
E01000127,E00000638,-0.265346568,-0.255147027,51.60916383,51.60355941
E01000128,E00000628,-0.265423533,-0.254119636,51.60380655,51.59753589
E01000129,E00000625,-0.269241209,-0.258166483,51.60552169,51.59627123
E01000130,E00000648,-0.259274866,-0.249839711,51.60697407,51.6023789
E01000131,E00000623,-0.262987242,-0.249326268,51.60086142,51.59417314
E01000132,E00000631,-0.263817512,-0.253208257,51.61046137,51.60622253
E01000133,E00000632,-0.255609338,-0.247723884,51.61029744,51.60488066
E01000134,E00000636,-0.269252439,-0.260419376,51.60954247,51.60537266
E01000135,E00000697,-0.209087519,-0.194797611,51.5718779,51.56482744
E01000136,E00000700,-0.198400729,-0.183483605,51.57136211,51.56145684
E01000137,E00000678,-0.204052808,-0.196912558,51.5671562,51.56168228
E01000138,E00000670,-0.212123159,-0.201270499,51.56709203,51.56080143
